time;signal
369.4;1217
369.6;1198
369.8;1182
370;1163
370.2;1134
370.4;1113
370.6;1098
370.8;1073
371;1049
371.2;1033
371.4;1010
371.6;984
371.8;962
372;938
372.2;924
372.4;901
372.6;881
372.8;860
373;833
373.2;801
373.4;778
373.6;755
373.8;733
374;710
374.2;695
374.4;678
374.6;656
374.8;640
375;623
375.2;607
375.4;589
375.6;581
375.8;563
376;549
376.2;542
376.4;526
376.6;512
376.8;501
377;495
377.2;505
377.4;491
377.6;479
377.8;474
378;469
378.2;442
378.4;440
378.6;428
378.8;427
379;417
379.2;404
379.4;400
379.6;400
379.8;391
380;396
380.2;392
380.4;392
380.6;392
380.8;388
381;397
381.2;397
381.4;397
381.6;395
381.8;395
382;394
382.2;407
382.4;406
382.6;410
382.8;403
383;402
383.2;393
383.4;384
383.6;382
383.8;386
384;377
384.2;391
384.4;388
384.6;387
384.8;391
385;389
385.2;381
385.4;381
385.6;379
385.8;381
386;381
386.2;382
386.4;381
386.6;385
386.8;378
387;375
387.2;393
387.4;393
387.6;394
387.8;396
388;398
388.2;375
388.4;377
388.6;377
388.8;373
389;373
389.2;380
389.4;374
389.6;375
389.8;376
390;380
390.2;371
390.4;369
390.6;373
390.8;378
391;376
391.2;384
391.4;376
391.6;380
391.8;383
392;385
392.2;383
392.4;386
392.6;382
392.8;388
393;383
393.2;378
393.4;384
393.6;378
393.8;380
394;382
394.2;379
394.4;372
394.6;384
394.8;379
395;378
395.2;380
395.4;378
395.6;380
395.8;376
396;380
396.2;384
396.4;381
396.6;376
396.8;378
397;379
397.2;386
397.4;388
397.6;385
397.8;387
398;395
398.2;397
398.4;397
398.6;400
398.8;403
399;401
399.2;387
399.4;390
399.6;381
399.8;382
400;384
400.2;386
400.4;385
400.6;383
400.8;384
401;386
401.2;386
401.4;384
401.6;387
401.8;383
402;386
402.2;385
402.4;383
402.6;388
402.8;381
403;386
403.2;393
403.4;401
403.6;396
403.8;397
404;391
404.2;397
404.4;388
404.6;391
404.8;388
405;389
405.2;380
405.4;380
405.6;384
405.8;387
406;378
406.2;384
406.4;386
406.6;385
406.8;387
407;385
407.2;385
407.4;384
407.6;382
407.8;384
408;384
408.2;390
408.4;399
408.6;394
408.8;401
409;399
409.2;379
409.4;377
409.6;381
409.8;383
410;384
410.2;381
410.4;377
410.6;381
410.8;377
411;382
411.2;408
411.4;408
411.6;413
411.8;410
412;402
412.2;395
412.4;388
412.6;390
412.8;389
413;392
413.2;380
413.4;379
413.6;383
413.8;381
414;382
414.2;384
414.4;378
414.6;378
414.8;379
415;376
415.2;377
415.4;379
415.6;380
415.8;375
416;379
416.2;383
416.4;389
416.6;387
416.8;389
417;388
417.2;383
417.4;378
417.6;384
417.8;381
418;382
418.2;385
418.4;385
418.6;381
418.8;384
419;384
419.2;384
419.4;388
419.6;384
419.8;387
420;381
420.2;383
420.4;381
420.6;381
420.8;379
421;382
421.2;392
421.4;387
421.6;390
421.8;389
422;382
422.2;386
422.4;381
422.6;381
422.8;379
423;383
423.2;385
423.4;384
423.6;383
423.8;385
424;383
424.2;386
424.4;379
424.6;380
424.8;380
425;382
425.2;390
425.4;395
425.6;393
425.8;386
426;392
426.2;394
426.4;398
426.6;392
426.8;395
427;397
427.2;385
427.4;384
427.6;381
427.8;381
428;381
428.2;385
428.4;383
428.6;384
428.8;381
429;386
429.2;389
429.4;385
429.6;380
429.8;378
430;379
430.2;382
430.4;389
430.6;383
430.8;378
431;382
431.2;387
431.4;388
431.6;386
431.8;391
432;387
432.2;397
432.4;401
432.6;398
432.8;396
433;398
433.2;386
433.4;377
433.6;383
433.8;384
434;383
434.2;386
434.4;384
434.6;384
434.8;380
435;380
435.2;382
435.4;382
435.6;376
435.8;385
436;383
436.2;377
436.4;382
436.6;383
436.8;386
437;380
437.2;393
437.4;393
437.6;399
437.8;401
438;402
438.2;389
438.4;387
438.6;386
438.8;389
439;387
439.2;379
439.4;379
439.6;385
439.8;385
440;384
440.2;385
440.4;385
440.6;385
440.8;378
441;380
441.2;380
441.4;380
441.6;380
441.8;384
442;381
442.2;393
442.4;394
442.6;391
442.8;387
443;387
443.2;382
443.4;379
443.6;386
443.8;381
444;386
444.2;394
444.4;391
444.6;389
444.8;393
445;388
445.2;386
445.4;384
445.6;386
445.8;380
446;385
446.2;380
446.4;379
446.6;385
446.8;385
447;382
447.2;393
447.4;396
447.6;388
447.8;402
448;403
448.2;384
448.4;381
448.6;384
448.8;384
449;384
449.2;388
449.4;380
449.6;388
449.8;385
450;384
450.2;383
450.4;381
450.6;378
450.8;385
451;382
451.2;385
451.4;387
451.6;387
451.8;388
452;389
452.2;382
452.4;384
452.6;383
452.8;380
453;385
453.2;390
453.4;391
453.6;390
453.8;390
454;391
454.2;383
454.4;383
454.6;380
454.8;383
455;385
455.2;379
455.4;381
455.6;381
455.8;373
456;384
456.2;379
456.4;380
456.6;382
456.8;384
457;379
457.2;385
457.4;386
457.6;391
457.8;390
458;388
458.2;391
458.4;394
458.6;392
458.8;395
459;394
459.2;385
459.4;374
459.6;383
459.8;379
460;380
460.2;385
460.4;380
460.6;383
460.8;384
461;381
461.2;384
461.4;386
461.6;383
461.8;386
462;375
462.2;380
462.4;384
462.6;383
462.8;383
463;384
463.2;392
463.4;395
463.6;394
463.8;396
464;398
464.2;392
464.4;390
464.6;386
464.8;389
465;391
465.2;384
465.4;380
465.6;383
465.8;380
466;383
466.2;377
466.4;386
466.6;385
466.8;383
467;382
467.2;382
467.4;388
467.6;378
467.8;381
468;375
468.2;399
468.4;396
468.6;400
468.8;394
469;401
469.2;383
469.4;383
469.6;385
469.8;383
470;384
470.2;384
470.4;380
470.6;382
470.8;388
471;383
471.2;389
471.4;389
471.6;387
471.8;391
472;388
472.2;381
472.4;385
472.6;388
472.8;382
473;383
473.2;394
473.4;400
473.6;392
473.8;402
474;396
474.2;384
474.4;379
474.6;381
474.8;383
475;381
475.2;382
475.4;384
475.6;384
475.8;382
476;381
476.2;382
476.4;385
476.6;388
476.8;384
477;382
477.2;390
477.4;385
477.6;388
477.8;388
478;388
478.2;396
478.4;395
478.6;395
478.8;395
479;397
479.2;381
479.4;380
479.6;381
479.8;383
480;380
480.2;384
480.4;383
480.6;380
480.8;380
481;386
481.2;383
481.4;379
481.6;375
481.8;379
482;384
482.2;385
482.4;383
482.6;382
482.8;382
483;383
483.2;395
483.4;391
483.6;400
483.8;400
484;396
484.2;391
484.4;386
484.6;389
484.8;388
485;393
485.2;384
485.4;379
485.6;385
485.8;381
486;381
486.2;384
486.4;384
486.6;386
486.8;373
487;382
487.2;383
487.4;379
487.6;380
487.8;380
488;380
488.2;395
488.4;394
488.6;398
488.8;400
489;396
489.2;382
489.4;383
489.6;384
489.8;383
490;385
490.2;385
490.4;382
490.6;384
490.8;381
491;381
491.2;391
491.4;397
491.6;392
491.8;398
492;399
492.2;394
492.4;390
492.6;390
492.8;386
493;384
493.2;383
493.4;384
493.6;382
493.8;380
494;384
494.2;382
494.4;384
494.6;384
494.8;384
495;385
